week,price0,share0,price_othmkt0,price1,share1,price_othmkt1,price2,share2,price_othmkt2,price3,share3,price_othmkt3
1401,1.0377482,.0080645159,.96175981,1.2572554,.63440859,1.542702,1.0476918,.32526881,1.4454182,1.1867576,.032258064,1.3270234
1402,1.0377482,.0625,.9584499,1.3074847,.66477275,1.5486615,1.1515381,.20454545,1.4454182,1.2141387,.06818182,1.3265667
1403,1.0377482,.02739726,.95512348,1.3075678,.84018266,1.5533689,1.1715381,.063926943,1.4550958,1.2005049,.06849315,1.3270234
1404,1.0377482,.053921569,.94432062,1.3047397,.5147059,1.5506772,1.1715381,.098039217,1.4583039,1.1627052,.33333334,1.3269582
1405,1.0381775,.021834061,.93486375,1.285211,.66375548,1.5359942,1.1686809,.091703057,1.4568791,1.1636057,.22270742,1.296747
1406,1.0402437,.022058824,.93542045,1.2573688,.79044116,1.500669,1.1396699,.10294118,1.4497672,1.1776136,.084558822,1.1422917
1407,1.0237863,.03164557,.93557841,1.2328479,.69620252,1.4927672,1.0768126,.20886075,1.4542364,1.1703172,.06329114,1.3115658
1408,.98329294,.053333335,.9356882,1.2032136,.73333335,1.4984467,1.0785708,.16444445,1.4245299,1.1604602,.048888888,1.2812928
1409,.95297098,.041509435,.93348098,1.1699542,.71698111,1.4874609,1.0669225,.21509434,1.336725,1.1316414,.026415095,1.1778905
1410,.95104927,.034042552,.93468696,1.1405206,.80851066,1.4699576,1.0768126,.10212766,1.4253391,1.0515893,.055319149,1.2020543
1411,.96160662,.089655176,.92951441,1.1632923,.73103446,1.5029483,1.0798897,.14482759,1.4257916,1.124987,.034482758,1.2170444
1412,.97913563,.079096042,.90114111,1.1553398,.74011302,1.4872099,1.0284612,.10734463,1.4179798,1.0581516,.073446326,1.2798498
1413,.99469006,.064039409,.89978206,1.1574812,.75369459,1.4598351,1.0284612,.10344828,1.4155335,1.0680858,.078817733,1.3305244
1414,.96453148,.0098425196,.89648163,1.155803,.96259844,1.4503528,1.0289009,.013779528,1.4117199,1.1516966,.013779528,1.2883748
1415,.96392167,.055,.89850789,1.1394658,.84500003,1.4337034,1.0315382,.079999998,1.4112813,1.1535804,.02,1.2735592
1416,.96026284,.15887851,.90194678,1.1645581,.65420562,1.4896332,1.0338459,.12149533,1.4147121,1.1417576,.065420561,1.2420856
1417,.97031826,.047368422,.89845169,1.168224,.7736842,1.4609418,1.0450547,.1,1.4164355,1.062894,.078947365,1.2423506
1418,1.003847,.083333336,.90273547,1.1762993,.67592591,1.5052525,1.0191206,.14814815,1.4267868,1.067214,.09259259,1.2426342
1419,.99475658,.037267081,.87722361,1.1689634,.68944097,1.5008092,1.024615,.1242236,1.4022131,1.0547068,.14906833,1.2285188
1420,.98484516,.0064655175,.9158501,1.162042,.8383621,1.5014441,1.0224172,.049568966,1.2589798,1.0266472,.10560345,1.1906757
1421,.98232812,.074468084,.90541673,1.1310575,.62234044,1.4628257,1.0103294,.25,1.3231215,1.043804,.05319149,1.190544
1422,.96414733,.058479533,.92880076,1.1380922,.61403507,1.4149286,1.0187774,.16374269,1.3109671,1.0002402,.16374269,1.1801375
1423,.94636029,.15469614,.91497338,1.1389332,.5690608,1.4098307,1.0318068,.160221,1.265467,.98935443,.1160221,1.176193
1424,.91548634,.27017543,.91538358,1.128811,.61754388,1.3868806,1.0409206,.052631579,1.3025694,.960078,.059649121,1.1332343
1425,.95219815,.032051284,.92172551,1.1539354,.75641024,1.3260499,1.061029,.14102565,1.2824986,.95397633,.070512824,1.2302094
1426,.92906815,.012048192,.92701739,1.1482311,.63855422,1.3997045,1.0762496,.066265061,1.2081339,.88666648,.28313252,1.2252291
